"path","cc"
"images/Hamby (2009) Barrel/bullets/br5_1_land6.x3p",125
"images/Hamby (2009) Barrel/bullets/br5_2_land1.x3p",125
"images/Hamby (2009) Barrel/bullets/br5_2_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/br5_2_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/br5_2_land4.x3p",125
"images/Hamby (2009) Barrel/bullets/br5_2_land5.x3p",175
"images/Hamby (2009) Barrel/bullets/br5_2_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/Br6 Bullet 1-1.x3p",125
"images/Hamby (2009) Barrel/bullets/Br6 Bullet 1-2.x3p",150
"images/Hamby (2009) Barrel/bullets/Br6 Bullet 1-3.x3p",225
"images/Hamby (2009) Barrel/bullets/Br6 Bullet 1-4.x3p",300
"images/Hamby (2009) Barrel/bullets/Br6 Bullet 1-5.x3p",125
"images/Hamby (2009) Barrel/bullets/Br6 Bullet 1-6.x3p",125
"images/Hamby (2009) Barrel/bullets/Br6 Bullet 2-1.x3p",NA
"images/Hamby (2009) Barrel/bullets/Br6 Bullet 2-2.x3p",175
"images/Hamby (2009) Barrel/bullets/Br6 Bullet 2-3.x3p",200
"images/Hamby (2009) Barrel/bullets/Br6 Bullet 2-4.x3p",200
"images/Hamby (2009) Barrel/bullets/Br6 Bullet 2-5.x3p",175
"images/Hamby (2009) Barrel/bullets/Br6 Bullet 2-6.x3p",125
"images/Hamby (2009) Barrel/bullets/br6_1_land1.x3p",350
"images/Hamby (2009) Barrel/bullets/br6_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/br6_1_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/br6_1_land4.x3p",125
"images/Hamby (2009) Barrel/bullets/br6_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/br6_1_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/br6_2_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/br6_2_land2.x3p",125
"images/Hamby (2009) Barrel/bullets/br6_2_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/br6_2_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/br6_2_land5.x3p",125
"images/Hamby (2009) Barrel/bullets/br6_2_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/Br7 Bullet 1-1.x3p",125
"images/Hamby (2009) Barrel/bullets/Br7 Bullet 1-2.x3p",150
"images/Hamby (2009) Barrel/bullets/Br7 Bullet 1-3.x3p",200
"images/Hamby (2009) Barrel/bullets/Br7 Bullet 1-4.x3p",125
"images/Hamby (2009) Barrel/bullets/Br7 Bullet 1-5.x3p",150
"images/Hamby (2009) Barrel/bullets/Br7 Bullet 1-6.x3p",100
"images/Hamby (2009) Barrel/bullets/Br7 Bullet 2-1.x3p",150
"images/Hamby (2009) Barrel/bullets/Br7 Bullet 2-2.x3p",175
"images/Hamby (2009) Barrel/bullets/Br7 Bullet 2-3.x3p",150
"images/Hamby (2009) Barrel/bullets/Br7 Bullet 2-4.x3p",100
"images/Hamby (2009) Barrel/bullets/Br7 Bullet 2-5.x3p",150
"images/Hamby (2009) Barrel/bullets/Br7 Bullet 2-6.x3p",100
"images/Hamby (2009) Barrel/bullets/br7_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/br7_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/br7_1_land3.x3p",125
"images/Hamby (2009) Barrel/bullets/br7_1_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/br7_1_land5.x3p",150
"images/Hamby (2009) Barrel/bullets/br7_1_land6.x3p",150
"images/Hamby (2009) Barrel/bullets/br7_2_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/br7_2_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/br7_2_land3.x3p",125
"images/Hamby (2009) Barrel/bullets/br7_2_land4.x3p",175
"images/Hamby (2009) Barrel/bullets/br7_2_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/br7_2_land6.x3p",175
"images/Hamby (2009) Barrel/bullets/Br8 Bullet 1-1.x3p",150
"images/Hamby (2009) Barrel/bullets/Br8 Bullet 1-2.x3p",125
"images/Hamby (2009) Barrel/bullets/Br8 Bullet 1-3.x3p",150
"images/Hamby (2009) Barrel/bullets/Br8 Bullet 1-4.x3p",175
"images/Hamby (2009) Barrel/bullets/Br8 Bullet 1-5.x3p",100
"images/Hamby (2009) Barrel/bullets/Br8 Bullet 1-6.x3p",125
"images/Hamby (2009) Barrel/bullets/Br8 Bullet 2-1.x3p",225
"images/Hamby (2009) Barrel/bullets/Br8 Bullet 2-2.x3p",175
"images/Hamby (2009) Barrel/bullets/Br8 Bullet 2-3.x3p",225
"images/Hamby (2009) Barrel/bullets/Br8 Bullet 2-4.x3p",275
"images/Hamby (2009) Barrel/bullets/Br8 Bullet 2-5.x3p",150
"images/Hamby (2009) Barrel/bullets/Br8 Bullet 2-6.x3p",125
"images/Hamby (2009) Barrel/bullets/br8_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/br8_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/br8_1_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/br8_1_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/br8_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/br8_1_land6.x3p",125
"images/Hamby (2009) Barrel/bullets/br8_2_land1.x3p",225
"images/Hamby (2009) Barrel/bullets/br8_2_land2.x3p",150
"images/Hamby (2009) Barrel/bullets/br8_2_land3.x3p",150
"images/Hamby (2009) Barrel/bullets/br8_2_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/br8_2_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/br8_2_land6.x3p",125
"images/Hamby (2009) Barrel/bullets/Br9 Bullet 1-1.x3p",200
"images/Hamby (2009) Barrel/bullets/Br9 Bullet 1-2.x3p",NA
"images/Hamby (2009) Barrel/bullets/Br9 Bullet 1-3.x3p",125
"images/Hamby (2009) Barrel/bullets/Br9 Bullet 1-4.x3p",150
"images/Hamby (2009) Barrel/bullets/Br9 Bullet 1-5.x3p",225
"images/Hamby (2009) Barrel/bullets/Br9 Bullet 1-6.x3p",125
"images/Hamby (2009) Barrel/bullets/Br9 Bullet 2-1.x3p",175
"images/Hamby (2009) Barrel/bullets/Br9 Bullet 2-2.x3p",175
"images/Hamby (2009) Barrel/bullets/Br9 Bullet 2-3.x3p",175
"images/Hamby (2009) Barrel/bullets/Br9 Bullet 2-4.x3p",NA
"images/Hamby (2009) Barrel/bullets/Br9 Bullet 2-5.x3p",100
"images/Hamby (2009) Barrel/bullets/Br9 Bullet 2-6.x3p",175
"images/Hamby (2009) Barrel/bullets/br9_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/br9_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/br9_1_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/br9_1_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/br9_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/br9_1_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/br9_2_land1.x3p",175
"images/Hamby (2009) Barrel/bullets/br9_2_land2.x3p",125
"images/Hamby (2009) Barrel/bullets/br9_2_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/br9_2_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/br9_2_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/br9_2_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/brA_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/brA_1_land2.x3p",150
"images/Hamby (2009) Barrel/bullets/brA_1_land3.x3p",125
"images/Hamby (2009) Barrel/bullets/brA_1_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/brA_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/brA_1_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/brB_1_land1.x3p",125
"images/Hamby (2009) Barrel/bullets/brB_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/brB_1_land3.x3p",300
"images/Hamby (2009) Barrel/bullets/brB_1_land4.x3p",150
"images/Hamby (2009) Barrel/bullets/brB_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/brB_1_land6.x3p",125
"images/Hamby (2009) Barrel/bullets/brC_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/brC_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/brC_1_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/brC_1_land4.x3p",125
"images/Hamby (2009) Barrel/bullets/brC_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/brC_1_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/brE_1_land1.x3p",200
"images/Hamby (2009) Barrel/bullets/brE_1_land2.x3p",125
"images/Hamby (2009) Barrel/bullets/brE_1_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/brE_1_land4.x3p",175
"images/Hamby (2009) Barrel/bullets/brE_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/brE_1_land6.x3p",350
"images/Hamby (2009) Barrel/bullets/brG_1_land1.x3p",225
"images/Hamby (2009) Barrel/bullets/brG_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/brG_1_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/brG_1_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/brG_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/brG_1_land6.x3p",150
"images/Hamby (2009) Barrel/bullets/brH_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/brH_1_land2.x3p",175
"images/Hamby (2009) Barrel/bullets/brH_1_land3.x3p",150
"images/Hamby (2009) Barrel/bullets/brH_1_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/brH_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/brH_1_land6.x3p",125
"images/Hamby (2009) Barrel/bullets/brI_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/brI_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/brI_1_land3.x3p",150
"images/Hamby (2009) Barrel/bullets/brI_1_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/brI_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/brI_1_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/brL_1_land1.x3p",225
"images/Hamby (2009) Barrel/bullets/brL_1_land2.x3p",125
"images/Hamby (2009) Barrel/bullets/brL_1_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/brL_1_land4.x3p",125
"images/Hamby (2009) Barrel/bullets/brL_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/brL_1_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/brM_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/brM_1_land2.x3p",150
"images/Hamby (2009) Barrel/bullets/brM_1_land3.x3p",150
"images/Hamby (2009) Barrel/bullets/brM_1_land4.x3p",NA
"images/Hamby (2009) Barrel/bullets/brM_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/brM_1_land6.x3p",125
"images/Hamby (2009) Barrel/bullets/brN_1_land1.x3p",125
"images/Hamby (2009) Barrel/bullets/brN_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/brN_1_land3.x3p",175
"images/Hamby (2009) Barrel/bullets/brN_1_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/brN_1_land5.x3p",150
"images/Hamby (2009) Barrel/bullets/brN_1_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/brR_1_land1.x3p",150
"images/Hamby (2009) Barrel/bullets/brR_1_land2.x3p",150
"images/Hamby (2009) Barrel/bullets/brR_1_land3.x3p",125
"images/Hamby (2009) Barrel/bullets/brR_1_land4.x3p",125
"images/Hamby (2009) Barrel/bullets/brR_1_land5.x3p",125
"images/Hamby (2009) Barrel/bullets/brR_1_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/brU_1_land1.x3p",150
"images/Hamby (2009) Barrel/bullets/brU_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/brU_1_land3.x3p",300
"images/Hamby (2009) Barrel/bullets/brU_1_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/brU_1_land5.x3p",125
"images/Hamby (2009) Barrel/bullets/brU_1_land6.x3p",125
"images/Hamby (2009) Barrel/bullets/brV_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/brV_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/brV_1_land3.x3p",175
"images/Hamby (2009) Barrel/bullets/brV_1_land4.x3p",150
"images/Hamby (2009) Barrel/bullets/brV_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/brV_1_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/brW_1_land1.x3p",150
"images/Hamby (2009) Barrel/bullets/brW_1_land2.x3p",150
"images/Hamby (2009) Barrel/bullets/brW_1_land3.x3p",125
"images/Hamby (2009) Barrel/bullets/brW_1_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/brW_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/brW_1_land6.x3p",125
"images/Hamby (2009) Barrel/bullets/brX_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/brX_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/brX_1_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/brX_1_land4.x3p",125
