"br2_1_land3","br2_2_land5","brW_1_land3","",""
"br2_1_land4","br2_2_land6","brW_1_land4","",""
"br2_1_land5","br2_2_land1","brW_1_land5","",""
"br2_1_land6","br2_2_land2","brW_1_land6","",""
"br3_1_land1","br3_2_land2","brU_1_land2","",""
"br3_1_land2","br3_2_land3","brU_1_land3","",""
"br3_1_land3","br3_2_land4","brU_1_land4","",""
"br3_1_land4","br3_2_land5","brU_1_land5","",""
"br3_1_land5","br3_2_land6","brU_1_land6","",""
"br3_1_land6","br3_2_land1","brU_1_land1","",""
"br4_1_land1","br4_2_land4","brR_1_land4","brX_1_land3",""
"br4_1_land2","br4_2_land5","brR_1_land5","brX_1_land4",""
"br4_1_land3","br4_2_land6","brR_1_land6","brX_1_land5",""
"br4_1_land4","br4_2_land1","brR_1_land1","brX_1_land6",""
"br4_1_land5","br4_2_land2","brR_1_land2","brX_1_land1",""
"br4_1_land6","br4_2_land3","brR_1_land3","brX_1_land2",""
"br5_1_land1","br5_2_land3","brB_1_land1","brN_1_land1",""
"br5_1_land2","br5_2_land4","brB_1_land2","brN_1_land2",""
"br5_1_land3","br5_2_land5","brB_1_land3","brN_1_land3",""
"br5_1_land4","br5_2_land6","brB_1_land4","brN_1_land4",""
"br5_1_land5","br5_2_land1","brB_1_land5","brN_1_land5",""
"br5_1_land6","br5_2_land2","brB_1_land6","brN_1_land6",""
"br6_1_land1","br6_2_land2","brV_1_land1","",""
"br6_1_land2","br6_2_land3","brV_1_land2","",""
"br6_1_land3","br6_2_land4","brV_1_land3","",""
"br6_1_land4","br6_2_land5","brV_1_land4","",""
"br6_1_land5","br6_2_land6","brV_1_land5","",""
"br6_1_land6","br6_2_land1","brV_1_land6","",""
"br7_1_land1","br7_2_land1","brG_1_land2","brM_1_land3",""
"br7_1_land2","br7_2_land2","brG_1_land3","brM_1_land4",""
"br7_1_land3","br7_2_land3","brG_1_land4","brM_1_land5",""
"br7_1_land4","br7_2_land4","brG_1_land5","brM_1_land6",""
"br7_1_land5","br7_2_land5","brG_1_land6","brM_1_land1",""
"br7_1_land6","br7_2_land6","brG_1_land1","brM_1_land2",""
"br8_1_land1","br8_2_land4","brL_1_land1","",""
"br8_1_land2","br8_2_land5","brL_1_land2","",""
"br8_1_land3","br8_2_land6","brL_1_land3","",""
"br8_1_land4","br8_2_land1","brL_1_land4","",""
"br8_1_land5","br8_2_land2","brL_1_land5","",""
"br8_1_land6","br8_2_land3","brL_1_land6","",""
"br9_1_land1","br9_2_land3","brI_1_land3","",""
"br9_1_land2","br9_2_land4","brI_1_land4","",""
"br9_1_land3","br9_2_land5","brI_1_land5","",""
"br9_1_land4","br9_2_land6","brI_1_land6","",""
"br9_1_land5","br9_2_land1","brI_1_land1","",""
"br9_1_land6","br9_2_land2","brI_1_land2","",""
"br10_1_land1","br10_2_land3","brH_1_land6","",""
"br10_1_land2","br10_2_land4","brH_1_land1","",""
"br10_1_land3","br10_2_land5","brH_1_land2","",""
"br10_1_land4","br10_2_land6","brH_1_land3","",""
"br10_1_land5","br10_2_land1","brH_1_land4","",""
"br10_1_land6","br10_2_land2","brH_1_land5","",""
