"path","cc"
"app/images/Hamby252_3DX3P2of2//brB_1_land5.x3p",80
"app/images/Hamby252_3DX3P2of2//brB_1_land6.x3p",120
"app/images/Hamby252_3DX3P2of2//brC_1_land1.x3p",60
"app/images/Hamby252_3DX3P2of2//brC_1_land2.x3p",20
"app/images/Hamby252_3DX3P2of2//brC_1_land3.x3p",60
"app/images/Hamby252_3DX3P2of2//brC_1_land4.x3p",120
"app/images/Hamby252_3DX3P2of2//brC_1_land5.x3p",60
"app/images/Hamby252_3DX3P2of2//brC_1_land6.x3p",80
"app/images/Hamby252_3DX3P2of2//brE_1_land1.x3p",140
"app/images/Hamby252_3DX3P2of2//brE_1_land2.x3p",120
"app/images/Hamby252_3DX3P2of2//brE_1_land3.x3p",80
"app/images/Hamby252_3DX3P2of2//brE_1_land4.x3p",140
"app/images/Hamby252_3DX3P2of2//brE_1_land5.x3p",100
"app/images/Hamby252_3DX3P2of2//brE_1_land6.x3p",340
"app/images/Hamby252_3DX3P2of2//brG_1_land1.x3p",140
"app/images/Hamby252_3DX3P2of2//brG_1_land2.x3p",40
"app/images/Hamby252_3DX3P2of2//brG_1_land3.x3p",120
"app/images/Hamby252_3DX3P2of2//brG_1_land4.x3p",80
"app/images/Hamby252_3DX3P2of2//brG_1_land5.x3p",60
"app/images/Hamby252_3DX3P2of2//brG_1_land6.x3p",80
"app/images/Hamby252_3DX3P2of2//brH_1_land1.x3p",100
"app/images/Hamby252_3DX3P2of2//brH_1_land2.x3p",180
"app/images/Hamby252_3DX3P2of2//brH_1_land3.x3p",160
"app/images/Hamby252_3DX3P2of2//brH_1_land4.x3p",40
"app/images/Hamby252_3DX3P2of2//brH_1_land5.x3p",100
"app/images/Hamby252_3DX3P2of2//brH_1_land6.x3p",120
"app/images/Hamby252_3DX3P2of2//brI_1_land1.x3p",100
"app/images/Hamby252_3DX3P2of2//brI_1_land2.x3p",80
"app/images/Hamby252_3DX3P2of2//brI_1_land3.x3p",160
"app/images/Hamby252_3DX3P2of2//brI_1_land4.x3p",80
"app/images/Hamby252_3DX3P2of2//brI_1_land5.x3p",60
"app/images/Hamby252_3DX3P2of2//brI_1_land6.x3p",100
"app/images/Hamby252_3DX3P2of2//brL_1_land1.x3p",140
"app/images/Hamby252_3DX3P2of2//brL_1_land2.x3p",120
"app/images/Hamby252_3DX3P2of2//brL_1_land3.x3p",100
"app/images/Hamby252_3DX3P2of2//brL_1_land4.x3p",80
"app/images/Hamby252_3DX3P2of2//brL_1_land5.x3p",100
"app/images/Hamby252_3DX3P2of2//brL_1_land6.x3p",100
"app/images/Hamby252_3DX3P2of2//brM_1_land1.x3p",100
"app/images/Hamby252_3DX3P2of2//brM_1_land2.x3p",120
"app/images/Hamby252_3DX3P2of2//brM_1_land3.x3p",140
"app/images/Hamby252_3DX3P2of2//brM_1_land4.x3p",60
"app/images/Hamby252_3DX3P2of2//brM_1_land5.x3p",40
"app/images/Hamby252_3DX3P2of2//brM_1_land6.x3p",80
"app/images/Hamby252_3DX3P2of2//brN_1_land1.x3p",100
"app/images/Hamby252_3DX3P2of2//brN_1_land2.x3p",80
"app/images/Hamby252_3DX3P2of2//brN_1_land3.x3p",60
"app/images/Hamby252_3DX3P2of2//brN_1_land4.x3p",100
"app/images/Hamby252_3DX3P2of2//brN_1_land5.x3p",140
"app/images/Hamby252_3DX3P2of2//brN_1_land6.x3p",80
"app/images/Hamby252_3DX3P2of2//brR_1_land1.x3p",60
"app/images/Hamby252_3DX3P2of2//brR_1_land2.x3p",20
"app/images/Hamby252_3DX3P2of2//brR_1_land3.x3p",60
"app/images/Hamby252_3DX3P2of2//brR_1_land4.x3p",120
"app/images/Hamby252_3DX3P2of2//brR_1_land5.x3p",60
"app/images/Hamby252_3DX3P2of2//brR_1_land6.x3p",80
"app/images/Hamby252_3DX3P2of2//brU_1_land1.x3p",160
"app/images/Hamby252_3DX3P2of2//brU_1_land2.x3p",80
"app/images/Hamby252_3DX3P2of2//brU_1_land3.x3p",200
"app/images/Hamby252_3DX3P2of2//brU_1_land4.x3p",80
"app/images/Hamby252_3DX3P2of2//brU_1_land5.x3p",120
"app/images/Hamby252_3DX3P2of2//brU_1_land6.x3p",140
"app/images/Hamby252_3DX3P2of2//brV_1_land1.x3p",60
"app/images/Hamby252_3DX3P2of2//brV_1_land2.x3p",80
"app/images/Hamby252_3DX3P2of2//brV_1_land3.x3p",160
"app/images/Hamby252_3DX3P2of2//brV_1_land4.x3p",140
"app/images/Hamby252_3DX3P2of2//brV_1_land5.x3p",100
"app/images/Hamby252_3DX3P2of2//brV_1_land6.x3p",80
"app/images/Hamby252_3DX3P2of2//brW_1_land1.x3p",160
"app/images/Hamby252_3DX3P2of2//brW_1_land2.x3p",120
"app/images/Hamby252_3DX3P2of2//brW_1_land3.x3p",60
"app/images/Hamby252_3DX3P2of2//brW_1_land4.x3p",40
"app/images/Hamby252_3DX3P2of2//brW_1_land5.x3p",100
"app/images/Hamby252_3DX3P2of2//brW_1_land6.x3p",40
"app/images/Hamby252_3DX3P2of2//brX_1_land1.x3p",40
"app/images/Hamby252_3DX3P2of2//brX_1_land2.x3p",60
"app/images/Hamby252_3DX3P2of2//brX_1_land3.x3p",40
"app/images/Hamby252_3DX3P2of2//brX_1_land4.x3p",120
"app/images/Hamby252_3DX3P2of2//brX_1_land5.x3p",60
"app/images/Hamby252_3DX3P2of2//brX_1_land6.x3p",140
"app/images/Hamby252_3DX3P2of2//Ukn Bullet B-1.x3p",120
"app/images/Hamby252_3DX3P2of2//Ukn Bullet B-2.x3p",240
"app/images/Hamby252_3DX3P2of2//Ukn Bullet B-3.x3p",180
"app/images/Hamby252_3DX3P2of2//Ukn Bullet B-4.x3p",140
"app/images/Hamby252_3DX3P2of2//Ukn Bullet B-5.x3p",200
"app/images/Hamby252_3DX3P2of2//Ukn Bullet B-6.x3p",260
"app/images/Hamby252_3DX3P2of2//Ukn Bullet C-1.x3p",140
"app/images/Hamby252_3DX3P2of2//Ukn Bullet C-2.x3p",160
"app/images/Hamby252_3DX3P2of2//Ukn Bullet C-3.x3p",100
"app/images/Hamby252_3DX3P2of2//Ukn Bullet C-4.x3p",220
"app/images/Hamby252_3DX3P2of2//Ukn Bullet C-5.x3p",120
"app/images/Hamby252_3DX3P2of2//Ukn Bullet C-6.x3p",160
"app/images/Hamby252_3DX3P2of2//Ukn Bullet D-1.x3p",80
"app/images/Hamby252_3DX3P2of2//Ukn Bullet D-2.x3p",220
"app/images/Hamby252_3DX3P2of2//Ukn Bullet D-3.x3p",200
"app/images/Hamby252_3DX3P2of2//Ukn Bullet D-4.x3p",160
