"bullet","x","sd"
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-3.x3p",75,1.58574372704666
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",100,1.54473758989864
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",125,1.04110692359362
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",150,1.01422264619511
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",175,0.992700820000843
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",200,0.995669725205012
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",225,1.02829481571475
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",25,1.88946945337647
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",250,0.987265629515362
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",275,0.963599936173612
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",300,0.950564309697368
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",325,0.910370126982441
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",350,0.838154171330166
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",375,0.918336205907417
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",400,0.875941472734832
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",425,0.950904672903414
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",450,1.03692999929038
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",475,1.13801904980727
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",50,1.6476796661826
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",500,1.19728683901602
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",75,2.48625012785308
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",100,1.48344071573306
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",125,1.43608410557518
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",150,1.3762224367292
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",175,1.32670379574866
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",200,1.26982729992441
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",225,1.241292205304
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",25,2.93749943970603
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",250,1.14934381858061
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",275,1.10308008332785
