"path","cc"
"~/Downloads/Hamby Set 44/known//br8_1_land1.x3p",200
"~/Downloads/Hamby Set 44/known//br8_1_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br8_1_land3.x3p",350
"~/Downloads/Hamby Set 44/known//br8_1_land4.x3p",150
"~/Downloads/Hamby Set 44/known//br8_1_land5.x3p",125
"~/Downloads/Hamby Set 44/known//br8_1_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br8_2_land1.x3p",150
"~/Downloads/Hamby Set 44/known//br8_2_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br8_2_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br8_2_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br8_2_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br8_2_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br9_1_land1.x3p",125
"~/Downloads/Hamby Set 44/known//br9_1_land2.x3p",125
"~/Downloads/Hamby Set 44/known//br9_1_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br9_1_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br9_1_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br9_1_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br9_2_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br9_2_land2.x3p",200
"~/Downloads/Hamby Set 44/known//br9_2_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br9_2_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br9_2_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br9_2_land6.x3p",100
"~/Downloads/Hamby Set 44/unknown//brA_1_land1.x3p",100
"~/Downloads/Hamby Set 44/unknown//brA_1_land2.x3p",100
"~/Downloads/Hamby Set 44/unknown//brA_1_land3.x3p",100
"~/Downloads/Hamby Set 44/unknown//brA_1_land4.x3p",100
"~/Downloads/Hamby Set 44/unknown//brA_1_land5.x3p",100
"~/Downloads/Hamby Set 44/unknown//brA_1_land6.x3p",100
"~/Downloads/Hamby Set 44/unknown//brB_1_land1.x3p",100
"~/Downloads/Hamby Set 44/unknown//brB_1_land2.x3p",100
"~/Downloads/Hamby Set 44/unknown//brB_1_land3.x3p",550
"~/Downloads/Hamby Set 44/unknown//brB_1_land4.x3p",150
"~/Downloads/Hamby Set 44/unknown//brB_1_land5.x3p",100
"~/Downloads/Hamby Set 44/unknown//brB_1_land6.x3p",100
"~/Downloads/Hamby Set 44/unknown//brC_1_land1.x3p",100
"~/Downloads/Hamby Set 44/unknown//brC_1_land2.x3p",125
"~/Downloads/Hamby Set 44/unknown//brC_1_land3.x3p",100
"~/Downloads/Hamby Set 44/unknown//brC_1_land4.x3p",100
"~/Downloads/Hamby Set 44/unknown//brC_1_land5.x3p",100
"~/Downloads/Hamby Set 44/unknown//brC_1_land6.x3p",100
"~/Downloads/Hamby Set 44/unknown//brE_1_land1.x3p",125
"~/Downloads/Hamby Set 44/unknown//brE_1_land2.x3p",125
"~/Downloads/Hamby Set 44/unknown//brE_1_land3.x3p",100
"~/Downloads/Hamby Set 44/unknown//brE_1_land4.x3p",150
"~/Downloads/Hamby Set 44/unknown//brE_1_land5.x3p",125
"~/Downloads/Hamby Set 44/unknown//brE_1_land6.x3p",225
"~/Downloads/Hamby Set 44/unknown//brG_1_land1.x3p",100
"~/Downloads/Hamby Set 44/unknown//brG_1_land2.x3p",100
"~/Downloads/Hamby Set 44/unknown//brG_1_land3.x3p",175
"~/Downloads/Hamby Set 44/unknown//brG_1_land4.x3p",125
"~/Downloads/Hamby Set 44/unknown//brG_1_land5.x3p",125
"~/Downloads/Hamby Set 44/unknown//brG_1_land6.x3p",125
"~/Downloads/Hamby Set 44/unknown//brH_1_land1.x3p",100
"~/Downloads/Hamby Set 44/unknown//brH_1_land2.x3p",175
"~/Downloads/Hamby Set 44/unknown//brH_1_land3.x3p",125
"~/Downloads/Hamby Set 44/unknown//brH_1_land4.x3p",100
"~/Downloads/Hamby Set 44/unknown//brH_1_land5.x3p",100
"~/Downloads/Hamby Set 44/unknown//brH_1_land6.x3p",125
"~/Downloads/Hamby Set 44/unknown//brI_1_land1.x3p",100
"~/Downloads/Hamby Set 44/unknown//brI_1_land2.x3p",125
"~/Downloads/Hamby Set 44/unknown//brI_1_land3.x3p",125
"~/Downloads/Hamby Set 44/unknown//brI_1_land4.x3p",150
"~/Downloads/Hamby Set 44/unknown//brI_1_land5.x3p",100
"~/Downloads/Hamby Set 44/unknown//brI_1_land6.x3p",125
"~/Downloads/Hamby Set 44/unknown//brL_1_land1.x3p",150
"~/Downloads/Hamby Set 44/unknown//brL_1_land2.x3p",125
"~/Downloads/Hamby Set 44/unknown//brL_1_land3.x3p",100
"~/Downloads/Hamby Set 44/unknown//brL_1_land4.x3p",100
"~/Downloads/Hamby Set 44/unknown//brL_1_land5.x3p",100
"~/Downloads/Hamby Set 44/unknown//brL_1_land6.x3p",100
"~/Downloads/Hamby Set 44/unknown//brM_1_land1.x3p",125
"~/Downloads/Hamby Set 44/unknown//brM_1_land2.x3p",125
"~/Downloads/Hamby Set 44/unknown//brM_1_land3.x3p",150
"~/Downloads/Hamby Set 44/unknown//brM_1_land4.x3p",125
"~/Downloads/Hamby Set 44/unknown//brM_1_land5.x3p",125
"~/Downloads/Hamby Set 44/unknown//brM_1_land6.x3p",100
"~/Downloads/Hamby Set 44/unknown//brN_1_land1.x3p",100
"~/Downloads/Hamby Set 44/unknown//brN_1_land2.x3p",100
"~/Downloads/Hamby Set 44/unknown//brN_1_land3.x3p",100
"~/Downloads/Hamby Set 44/unknown//brN_1_land4.x3p",100
"~/Downloads/Hamby Set 44/unknown//brN_1_land5.x3p",125
"~/Downloads/Hamby Set 44/unknown//brN_1_land6.x3p",100
"~/Downloads/Hamby Set 44/unknown//brR_1_land1.x3p",100
"~/Downloads/Hamby Set 44/unknown//brR_1_land2.x3p",150
"~/Downloads/Hamby Set 44/unknown//brR_1_land3-payattn.x3p",100
"~/Downloads/Hamby Set 44/unknown//brR_1_land4.x3p",150
"~/Downloads/Hamby Set 44/unknown//brR_1_land5.x3p",125
"~/Downloads/Hamby Set 44/unknown//brR_1_land6.x3p",100
"~/Downloads/Hamby Set 44/unknown//brU_1_land1.x3p",150
"~/Downloads/Hamby Set 44/unknown//brU_1_land2.x3p",100
"~/Downloads/Hamby Set 44/unknown//brU_1_land3.x3p",150
"~/Downloads/Hamby Set 44/unknown//brU_1_land4.x3p",100
"~/Downloads/Hamby Set 44/unknown//brU_1_land5.x3p",100
"~/Downloads/Hamby Set 44/unknown//brU_1_land6.x3p",150
"~/Downloads/Hamby Set 44/unknown//brV_1_land1.x3p",100
"~/Downloads/Hamby Set 44/unknown//brV_1_land2.x3p",150
"~/Downloads/Hamby Set 44/unknown//brV_1_land3.x3p",125
"~/Downloads/Hamby Set 44/unknown//brV_1_land4.x3p",150
"~/Downloads/Hamby Set 44/unknown//brV_1_land5.x3p",125
