"bullet","groove_left","groove_right"
"~/Downloads/Hamby Set 44/known/br6_2_land1.x3p",153.125,2189.0625
"~/Downloads/Hamby Set 44/known/br6_2_land2.x3p",337.5,2328.125
"~/Downloads/Hamby Set 44/known/br6_2_land3.x3p",0,2814.0625
"~/Downloads/Hamby Set 44/known/br6_2_land4.x3p",350,2323.4375
"~/Downloads/Hamby Set 44/known/br6_2_land5.x3p",257.8125,2312.5
"~/Downloads/Hamby Set 44/known/br6_2_land6.x3p",354.6875,2292.1875
"~/Downloads/Hamby Set 44/known/br7_1_land1.x3p",0,2073.4375
"~/Downloads/Hamby Set 44/known/br7_1_land2.x3p",385.9375,2379.6875
"~/Downloads/Hamby Set 44/known/br7_1_land3.x3p",315.625,2303.125
"~/Downloads/Hamby Set 44/known/br7_1_land4.x3p",337.5,2171.875
"~/Downloads/Hamby Set 44/known/br7_1_land5.x3p",345.3125,2720.3125
"~/Downloads/Hamby Set 44/known/br7_1_land6.x3p",271.875,2354.6875
"~/Downloads/Hamby Set 44/known/br7_2_land1.x3p",296.875,2262.5
"~/Downloads/Hamby Set 44/known/br7_2_land2.x3p",345.3125,2334.375
"~/Downloads/Hamby Set 44/known/br7_2_land3.x3p",389.0625,2368.75
"~/Downloads/Hamby Set 44/known/br7_2_land4.x3p",210.9375,2368.75
"~/Downloads/Hamby Set 44/known/br7_2_land5.x3p",345.3125,2307.8125
"~/Downloads/Hamby Set 44/known/br7_2_land6.x3p",104.6875,2282.8125
"~/Downloads/Hamby Set 44/known/br8_1_land1.x3p",218.75,2298.4375
"~/Downloads/Hamby Set 44/known/br8_1_land2.x3p",292.1875,2256.25
"~/Downloads/Hamby Set 44/known/br8_1_land3.x3p",304.6875,2281.25
"~/Downloads/Hamby Set 44/known/br8_1_land4.x3p",331.25,2259.375
"~/Downloads/Hamby Set 44/known/br8_1_land5.x3p",293.75,2273.4375
"~/Downloads/Hamby Set 44/known/br8_1_land6.x3p",206.25,2340.625
"~/Downloads/Hamby Set 44/known/br8_2_land1.x3p",295.3125,2276.5625
"~/Downloads/Hamby Set 44/known/br8_2_land2.x3p",343.75,2325
"~/Downloads/Hamby Set 44/known/br8_2_land3.x3p",265.625,2410.9375
"~/Downloads/Hamby Set 44/known/br8_2_land4.x3p",267.1875,2248.4375
"~/Downloads/Hamby Set 44/known/br8_2_land5.x3p",117.1875,2309.375
"~/Downloads/Hamby Set 44/known/br8_2_land6.x3p",310.9375,2232.8125
"~/Downloads/Hamby Set 44/known/br9_1_land1.x3p",381.25,2359.375
"~/Downloads/Hamby Set 44/known/br9_1_land2.x3p",267.1875,2175
"~/Downloads/Hamby Set 44/known/br9_1_land3.x3p",289.0625,2257.8125
"~/Downloads/Hamby Set 44/known/br9_1_land4.x3p",201.5625,2160.9375
"~/Downloads/Hamby Set 44/known/br9_1_land5.x3p",245.3125,2218.75
"~/Downloads/Hamby Set 44/known/br9_1_land6.x3p",256.25,2120.3125
"~/Downloads/Hamby Set 44/known/br9_2_land1.x3p",357.8125,2323.4375
"~/Downloads/Hamby Set 44/known/br9_2_land2.x3p",109.375,2242.1875
"~/Downloads/Hamby Set 44/known/br9_2_land3.x3p",185.9375,2376.5625
"~/Downloads/Hamby Set 44/known/br9_2_land4.x3p",340.625,2323.4375
"~/Downloads/Hamby Set 44/known/br9_2_land5.x3p",298.4375,2287.5
"~/Downloads/Hamby Set 44/known/br9_2_land6.x3p",321.875,2292.1875
"~/Downloads/Hamby Set 44/unknown/brA_1_land1.x3p",278.125,2267.1875
"~/Downloads/Hamby Set 44/unknown/brA_1_land2.x3p",321.875,2289.0625
"~/Downloads/Hamby Set 44/unknown/brA_1_land3.x3p",225,2243.75
"~/Downloads/Hamby Set 44/unknown/brA_1_land4.x3p",270.3125,2400
"~/Downloads/Hamby Set 44/unknown/brA_1_land5.x3p",398.4375,2379.6875
"~/Downloads/Hamby Set 44/unknown/brA_1_land6.x3p",300,2273.4375
"~/Downloads/Hamby Set 44/unknown/brB_1_land1.x3p",496.875,2329.6875
"~/Downloads/Hamby Set 44/unknown/brB_1_land2.x3p",410.9375,2348.4375
"~/Downloads/Hamby Set 44/unknown/brB_1_land3.x3p",367.1875,2375
"~/Downloads/Hamby Set 44/unknown/brB_1_land4.x3p",314.0625,2295.3125
"~/Downloads/Hamby Set 44/unknown/brB_1_land5.x3p",335.9375,2264.0625
"~/Downloads/Hamby Set 44/unknown/brB_1_land6.x3p",326.5625,2315.625
"~/Downloads/Hamby Set 44/unknown/brC_1_land1.x3p",285.9375,2584.375
"~/Downloads/Hamby Set 44/unknown/brC_1_land2.x3p",246.875,2389.0625
"~/Downloads/Hamby Set 44/unknown/brC_1_land3.x3p",373.4375,2365.625
"~/Downloads/Hamby Set 44/unknown/brC_1_land4.x3p",320.3125,2306.25
"~/Downloads/Hamby Set 44/unknown/brC_1_land5.x3p",396.875,2557.8125
"~/Downloads/Hamby Set 44/unknown/brC_1_land6.x3p",260.9375,2398.4375
"~/Downloads/Hamby Set 44/unknown/brE_1_land1.x3p",0,2310.9375
"~/Downloads/Hamby Set 44/unknown/brE_1_land2.x3p",282.8125,2717.1875
"~/Downloads/Hamby Set 44/unknown/brE_1_land3.x3p",312.5,2115.625
"~/Downloads/Hamby Set 44/unknown/brE_1_land4.x3p",278.125,2235.9375
"~/Downloads/Hamby Set 44/unknown/brE_1_land5.x3p",443.75,2760.9375
"~/Downloads/Hamby Set 44/unknown/brE_1_land6.x3p",0,2814.0625
"~/Downloads/Hamby Set 44/unknown/brG_1_land1.x3p",193.75,2248.4375
"~/Downloads/Hamby Set 44/unknown/brG_1_land2.x3p",267.1875,2248.4375
"~/Downloads/Hamby Set 44/unknown/brG_1_land3.x3p",278.125,2275
