"ccf","lag","D","sd.D","b1","b2","x1","x2","num.matches","num.mismatches","cms","cms2","non_cms","left_cms","right_cms","left_noncms","right_noncms","sumpeaks","data","resID"
0.0950523336120061,132,6.06025231813303,4.01849106691281,"brH_1_land6","br1_1_land1",125,100,3,16,1,1,6,0,0,3,3,2.67773683011192,"data-new-25-25/unkn36.RData",1
0.517265466547739,208,9.513363142511,6.11018789551818,"brI_1_land1","br1_1_land1",100,100,2,16,1,1,9,0,0,5,2,5.54769304815725,"data-new-25-25/unkn37.RData",1
0.378396508808703,140,4.44448403461918,3.93323958312566,"brI_1_land2","br1_1_land1",125,100,2,24,1,0,14,0,0,2,14,2.71496797334474,"data-new-25-25/unkn38.RData",1
0.728922409602698,213,5.64193988279775,5.50304381456187,"brI_1_land3","br1_1_land1",125,100,4,16,2,1,8,0,2,2,0,36.3772262706969,"data-new-25-25/unkn39.RData",1
0.221658574433914,95,5.49066235467368,4.06540267831063,"brA_1_land4","br1_1_land1",100,100,3,20,1,1,8,0,0,8,7,0.906856660174229,"data-new-25-25/unkn4.RData",1
0.402632200304524,219,7.54921433972127,5.03105463020076,"brI_1_land4","br1_1_land1",150,100,4,16,2,1,10,0,0,2,10,4.99629613347328,"data-new-25-25/unkn40.RData",1
0.0845523862924887,57,7.53035561021543,4.08044451869394,"brI_1_land5","br1_1_land1",100,100,1,18,1,1,18,0,1,18,0,7.44288513091067,"data-new-25-25/unkn41.RData",1
0.646245764939209,137,7.26029086262445,5.7016828232485,"brI_1_land6","br1_1_land1",125,100,6,13,3,1,5,0,2,4,0,60.9142787795755,"data-new-25-25/unkn42.RData",1
0.529330864252253,212,6.11809416437939,5.8912023166426,"brL_1_land1","br1_1_land1",150,100,8,17,3,1,6,0,0,1,2,22.2267656739371,"data-new-25-25/unkn43.RData",1
0.772133715498771,212,2.34054738964868,4.97304193688135,"brL_1_land2","br1_1_land1",125,100,1,23,1,1,23,0,1,23,0,15.8524977774577,"data-new-25-25/unkn44.RData",1
0.532558852087686,221,6.57241767720855,5.50046355950861,"brL_1_land3","br1_1_land1",100,100,1,19,1,1,19,0,1,19,0,19.01485475607,"data-new-25-25/unkn45.RData",1
0.612831046509172,172,8.13019121986943,5.53802171291039,"brL_1_land4","br1_1_land1",100,100,4,15,2,1,7,0,1,3,0,21.5925321888379,"data-new-25-25/unkn46.RData",1
