"b2","b1","ccf","lag","D","sd.D","x1","x2","signature.length","matches.per.y","mismatches.per.y","cms.per.y","cms2.per.y","non_cms.per.y","left_cms.per.y","right_cms.per.y","left_noncms.per.y","right_noncms.per.y","sumpeaks.per.y","data","id.x","id.y","match","span"
"Ukn Bullet B-1","Br5 Bullet 2-3",0.268549085519261,-842.1875,0.547372770216618,1.32411396224474,140.625,120.3125,1248,0.000801282051282051,0.0432692307692308,0.000801282051282051,0,0.0248397435897436,0,0,0.0248397435897436,0.0184294871794872,0.00128690376803742,"data/data-10-25/unkn1-new.RData",19,38,FALSE,10
"Ukn Bullet B-1","Br2 Bullet 2-4",0.384919651690874,392.1875,0.995719181643562,1.59645161452035,179.6875,120.3125,1247,0.00240577385725742,0.032878909382518,0.000801924619085806,0.000801924619085806,0.0144346431435445,0,0,0.0144346431435445,0.0112269446672013,0.0021865085430434,"data/data-10-25/unkn1-new.RData",9,38,FALSE,10
"Ukn Bullet B-1","Br10 Bullet 1-3",0.399357088581003,-78.125,6.80191456255395,3.1107041388825,300,120.3125,1254,0.00637958532695375,0.0231259968102073,0.00478468899521531,0.00239234449760766,0.0127591706539075,0,0,0.00159489633173844,0.0127591706539075,0.00867281040800044,"data/data-10-25/unkn1-new.RData",57,38,FALSE,10
"Ukn Bullet B-1","Br1 Bullet 1-2",0.271767159552719,132.8125,0.677526011485843,1.25651615495452,100,120.3125,1247,0.00481154771451484,0.0264635124298316,0.00160384923817161,0.000801924619085806,0.00962309542902967,0,0,0.00641539695268645,0.000801924619085806,0.00319375233379947,"data/data-10-25/unkn1-new.RData",2,38,FALSE,10
"Ukn Bullet B-1","Br5 Bullet 1-2",0.450469789404364,-246.875,1.59971525773683,1.83366303170801,140.625,120.3125,1247,0.00721732157177225,0.0320769847634322,0.00320769847634322,0.00160384923817161,0.00962309542902967,0,0,0.00481154771451484,0.00962309542902967,0.00559117278109546,"data/data-10-25/unkn1-new.RData",20,38,FALSE,10
"Ukn Bullet B-1","Br5 Bullet 2-6",0.310832447927774,-867.1875,1.69884363571443,1.77955159302031,159.375,120.3125,1246,0.00160513643659711,0.0417335473515249,0.000802568218298555,0.000802568218298555,0.021669341894061,0,0,0.0128410914927769,0.021669341894061,0.00158506503515318,"data/data-10-25/unkn1-new.RData",22,38,FALSE,10
"Ukn Bullet B-1","Br8 Bullet 2-5",0.250691048084965,537.5,5.95582567096717,2.64703993571358,140.625,120.3125,1254,0.000797448165869219,0.0318979266347687,0.000797448165869219,0,0.0175438596491228,0,0,0.0175438596491228,0.0143540669856459,0.000979965037049066,"data/data-10-25/unkn1-new.RData",47,38,FALSE,10
"Ukn Bullet B-1","Br2 Bullet 2-1",0.300389790304093,-354.6875,1.93919596010511,1.83747317869521,159.375,120.3125,1223,0.00163532297628782,0.0376124284546198,0.00163532297628782,0.000817661488143908,0.0196238757154538,0,0,0.0196238757154538,0.017988552739166,0.000469539057410991,"data/data-10-25/unkn1-new.RData",12,38,FALSE,10
"Ukn Bullet B-1","Br3 Bullet 1-2",0.334358784470925,575,2.31535647787269,1.97251205410947,140.625,120.3125,1254,0.00717703349282297,0.0311004784688995,0.00318979266347687,0.00159489633173844,0.0143540669856459,0,0,0.0143540669856459,0.0127591706539075,0.00798067796124871,"data/data-10-25/unkn1-new.RData",14,38,FALSE,10
"Ukn Bullet B-1","Br10 Bullet 2-1",0.370408820052215,-1257.8125,13.5872644318789,2.77881121303263,20.3125,120.3125,1254,0.000797448165869219,0.0526315789473684,0.000797448165869219,0.000797448165869219,0.0311004784688995,0,0,0.0215311004784689,0.0311004784688995,0.0017461935710378,"data/data-10-25/unkn1-new.RData",59,38,FALSE,10
"Ukn Bullet B-1","Br6 Bullet 2-2",0.352170275350888,-223.4375,1.37908811733645,1.6609308715146,179.6875,120.3125,1254,0.00558213716108453,0.0263157894736842,0.00239234449760766,0.000797448165869219,0.0087719298245614,0,0,0.0087719298245614,0.00558213716108453,0.00423331732980486,"data/data-10-25/unkn1-new.RData",29,38,FALSE,10
"Ukn Bullet B-1","Br4 Bullet 2-2",0.351527732758796,-1240.625,8.54569020950603,2.24863080258439,20.3125,120.3125,1254,0,0.0614035087719298,0,0,0.0614035087719298,0,0,0.0614035087719298,0.0614035087719298,0,"data/data-10-25/unkn1-new.RData",42,38,FALSE,10
"Ukn Bullet B-1","Br8 Bullet 1-5",0.339033463734677,559.375,1.22045864735346,1.58077641000344,100,120.3125,1254,0.00318979266347687,0.0358851674641148,0.00159489633173844,0.000797448165869219,0.0167464114832536,0,0,0.0143540669856459,0.0167464114832536,0.00194850388474989,"data/data-10-25/unkn1-new.RData",47,38,FALSE,10
"Ukn Bullet B-1","Br9 Bullet 1-6",0.445966709192251,-443.75,1.72794695523782,1.87980506659203,120.3125,120.3125,1231,0.00568643379366369,0.0324939073923639,0.0016246953696182,0.000812347684809098,0.00974817221770918,0,0,0.00893582453290008,0.00974817221770918,0.008313378547699,"data/data-10-25/unkn1-new.RData",54,38,FALSE,10
"Ukn Bullet B-1","Br4 Bullet 2-6",0.249915924035366,109.375,0.993298622284928,1.45169720522418,200,120.3125,1236,0.00566343042071197,0.0186084142394822,0.00161812297734628,0.000809061488673139,0.00728155339805825,0,0,0.0040453074433657,0.00485436893203883,0.00468390530849098,"data/data-10-25/unkn1-new.RData",40,38,FALSE,10
"Ukn Bullet B-1","Br3 Bullet 1-5",0.402496730097848,-100,1.58129064949011,1.84060846203262,120.3125,120.3125,1223,0.00245298446443173,0.0253475061324612,0.00245298446443173,0.00163532297628782,0.0204415372035977,0,0,0.00490596892886345,0.0204415372035977,0.00382554694816091,"data/data-10-25/unkn1-new.RData",17,38,FALSE,10
"Ukn Bullet B-1","Br5 Bullet 1-6",0.267928453727486,-168.75,1.37332638812169,1.61675420582361,140.625,120.3125,1237,0.00323362974939369,0.0299110751818917,0.00161681487469685,0.000808407437348424,0.0121261115602264,0,0,0.00323362974939369,0.0121261115602264,0.00157033431331568,"data/data-10-25/unkn1-new.RData",24,38,FALSE,10
"Ukn Bullet B-1","Br9 Bullet 2-3",0.254899931964799,-506.25,0.988871925952643,1.57068302595452,179.6875,120.3125,1247,0.00721732157177225,0.0336808340016038,0.00481154771451484,0.00240577385725742,0.0128307939053729,0,0,0.00882117080994387,0.0128307939053729,0.00657761184414718,"data/data-10-25/unkn1-new.RData",50,38,FALSE,10
"Ukn Bullet B-1","Br6 Bullet 2-4",0.404380618003275,135.9375,2.57188012511727,2.12986532106699,200,120.3125,1234,0.00405186385737439,0.0235008103727715,0.00324149108589951,0.00162074554294976,0.0145867098865478,0,0,0.0145867098865478,0.00324149108589951,0.00514689175738433,"data/data-10-25/unkn1-new.RData",25,38,FALSE,10
"Ukn Bullet B-1","Br3 Bullet 1-4",0.284617206947857,95.3125,6.79940445046914,3.15795777675546,300,120.3125,1254,0.00558213716108453,0.0223285486443381,0.00398724082934609,0.00159489633173844,0.0127591706539075,0,0,0.00318979266347687,0.0127591706539075,0.00492150791490305,"data/data-10-25/unkn1-new.RData",16,38,FALSE,10
"Ukn Bullet B-1","Br8 Bullet 2-4",0.305023486727579,715.625,5.61861682462469,2.47715130868086,320.3125,120.3125,1178,0.00424448217317487,0.0500848896434635,0.00424448217317487,0.00254668930390492,0.0288624787775891,0,0,0.0288624787775891,0.0212224108658744,0.00905556688587275,"data/data-10-25/unkn1-new.RData",46,38,FALSE,10
"Ukn Bullet B-1","Br6 Bullet 2-3",0.241689919539659,-618.75,2.30170794670736,1.94746041357934,179.6875,120.3125,1245,0.00321285140562249,0.0409638554216867,0.00160642570281125,0.000803212851405623,0.0176706827309237,0,0,0.01285140562249,0.0176706827309237,0.00345122705255374,"data/data-10-25/unkn1-new.RData",30,38,FALSE,10
"Ukn Bullet B-1","Br3 Bullet 2-1",0.278656638711695,284.375,2.34893335785955,2.05619087693947,159.375,120.3125,1237,0.00161681487469685,0.0299110751818917,0.00161681487469685,0.000808407437348424,0.0177849636216653,0,0,0.0121261115602264,0.0177849636216653,0.00137899818050945,"data/data-10-25/unkn1-new.RData",17,38,FALSE,10
"Ukn Bullet B-1","Br4 Bullet 2-3",0.330848201673243,-237.5,2.71607031402006,2.25627263331208,140.625,120.3125,1254,0.00318979266347687,0.0271132376395534,0.000797448165869219,0.000797448165869219,0.00797448165869218,0,0,0.00558213716108453,0.00797448165869218,0.00485137774843111,"data/data-10-25/unkn1-new.RData",37,38,FALSE,10
"Ukn Bullet B-1","Br7 Bullet 1-5",0.312078587020231,-1154.6875,0.847202425159359,1.43681514698209,159.375,120.3125,1240,0.00241935483870968,0.0524193548387097,0.00161290322580645,0.000806451612903226,0.0306451612903226,0,0,0.017741935483871,0.0306451612903226,0.00135002668578626,"data/data-10-25/unkn1-new.RData",35,38,FALSE,10
"Ukn Bullet B-1","Br8 Bullet 1-6",0.305255725560725,31.25,0.936272356083952,1.44154002810645,120.3125,120.3125,1240,0.00887096774193548,0.0185483870967742,0.00161290322580645,0.000806451612903226,0.00725806451612903,0,0,0.000806451612903226,0.000806451612903226,0.00707021962755319,"data/data-10-25/unkn1-new.RData",48,38,FALSE,10
"Ukn Bullet B-1","Br7 Bullet 2-3",0.21232474830409,978.125,4.87612114695891,2.41140430002334,159.375,120.3125,1254,0.00478468899521531,0.0470494417862839,0.00239234449760766,0.00159489633173844,0.0199362041467305,0,0,0.0199362041467305,0.0199362041467305,0.00894806615203601,"data/data-10-25/unkn1-new.RData",32,38,FALSE,10
"Ukn Bullet B-1","Br6 Bullet 1-3",0.363511605416436,828.125,1.21345905366208,1.57621849336794,220.3125,120.3125,1253,0.00399042298483639,0.0478850758180367,0.00239425379090184,0.00159616919393456,0.0223463687150838,0,0,0.0223463687150838,0.0207501995211492,0.00468916870804526,"data/data-10-25/unkn1-new.RData",27,38,FALSE,10
"Ukn Bullet B-1","Br10 Bullet 1-4",0.276341213736794,20.3125,1.32378658293139,1.63659442901722,200,120.3125,1206,0.00248756218905473,0.0240464344941957,0.00248756218905473,0.00165837479270315,0.0174129353233831,0,0,0.0066334991708126,0.0174129353233831,0.00196143527175669,"data/data-10-25/unkn1-new.RData",58,38,FALSE,10
"Ukn Bullet B-1","Br4 Bullet 1-2",0.858543954359262,-1.5625,0.0519113031351565,0.866462323513585,120.3125,120.3125,1251,0.0183852917665867,0.0135891286970424,0.00799360511590727,0.00399680255795364,0.00319744204636291,0,0,0.00319744204636291,0.00239808153477218,0.00843472518757963,"data/data-10-25/unkn1-new.RData",38,38,TRUE,10
"Ukn Bullet B-1","Br5 Bullet 2-1",0.320523439628906,50,0.387312871349942,1.07966920905362,140.625,120.3125,1254,0.00797448165869218,0.0207336523125997,0.00318979266347687,0.00159489633173844,0.00797448165869218,0,0,0.00318979266347687,0.00159489633173844,0.00287698406264558,"data/data-10-25/unkn1-new.RData",23,38,FALSE,10
