"b2","b1","ccf","lag","D","sd.D","x1","x2","signature.length","matches.per.y","mismatches.per.y","cms.per.y","cms2.per.y","non_cms.per.y","left_cms.per.y","right_cms.per.y","left_noncms.per.y","right_noncms.per.y","sumpeaks.per.y","data","id.x","id.y","match","span"
"Br1 Bullet 1-1","Ukn Bullet Q-1",0.384108693156119,0,2.99934295298713,2.42572351216547,150,75,1245,0.00160642570281125,0.0160642570281124,0.000803212851405623,0.000803212851405623,0.0072289156626506,0,0,0.0072289156626506,0.00401606425702811,0.00166095804980104,"data-25-25/unkn55-new.RData",56,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet L-1",0.408200987986396,0,3.09927313552625,2.62390156797022,125,75,1240,0.00483870967741936,0.00967741935483871,0.0032258064516129,0.00161290322580645,0.00483870967741936,0,0,0.00161290322580645,0.00483870967741936,0.00505967120783657,"data-25-25/unkn43-new.RData",43,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet E-6",0.459397254946454,0,2.84269074532827,2.5530184245594,125,75,1235,0.00242914979757085,0.0145748987854251,0.000809716599190283,0.000809716599190283,0.00647773279352227,0,0,0.00242914979757085,0.00161943319838057,0.00268147484208562,"data-25-25/unkn24-new.RData",27,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet Q-5",0.382729199642516,0,3.62239402632602,2.28504520822538,150,75,1240,0.00564516129032258,0.0145161290322581,0.0032258064516129,0.00161290322580645,0.00564516129032258,0,0,0.0032258064516129,0.00161290322580645,0.00562807394239219,"data-25-25/unkn59-new.RData",60,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet E-3",0.391002158207668,0,3.54687626639734,2.56731942750963,125,75,1233,0.0016220600162206,0.0186536901865369,0.0008110300081103,0.0008110300081103,0.0089213300892133,0,0,0.0089213300892133,0.0016220600162206,0.00215962700182626,"data-25-25/unkn21-new.RData",30,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet U-6",0.410279704722274,0,4.6363147204217,3.19298033230786,75,75,1232,0.00487012987012987,0.0137987012987013,0.00162337662337662,0.000811688311688312,0.00487012987012987,0.00162337662337662,0,0,0.00243506493506494,0.00643084683958466,"data-25-25/unkn72-new.RData",49,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet H-1",0.475039421694097,0,2.13661656562166,2.26503229703773,125,75,1237,0.00646725949878739,0.0113177041228779,0.00242522231204527,0.000808407437348424,0.00485044462409054,0.00242522231204527,0,0,0.00242522231204527,0.00668725359730938,"data-25-25/unkn31-new.RData",9,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet S-6",0.389110518510759,0,2.13121489772627,1.92069773449383,150,75,1236,0.0040453074433657,0.0137540453074434,0.00161812297734628,0.000809061488673139,0.00485436893203883,0.000809061488673139,0,0,0.00485436893203883,0.00418200196679212,"data-25-25/unkn66-new.RData",18,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet C-1",0.462596559040922,0,4.27123809164877,2.7101711650539,150,75,1232,0.00243506493506494,0.0137987012987013,0.000811688311688312,0.000811688311688312,0.00730519480519481,0,0,0.000811688311688312,0.000811688311688312,0.00353394269185365,"data-25-25/unkn7-new.RData",3,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet E-4",0.478994369797189,0,3.5931041493092,2.74452364794674,150,75,1244,0.00160771704180064,0.0184887459807074,0.000803858520900322,0.000803858520900322,0.0104501607717042,0.000803858520900322,0,0,0.0104501607717042,0.00112237595678722,"data-25-25/unkn22-new.RData",25,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet J-6",0.447342311711631,0,2.78724990596182,2.27660847067695,125,75,1238,0.0024232633279483,0.012924071082391,0.00161550888529887,0.000807754442649435,0.00484652665589661,0,0,0.00323101777059774,0.00484652665589661,0.00246461614013378,"data-25-25/unkn42-new.RData",35,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet E-5",0.405302873394252,0,2.15820460850034,2.15802299383629,150,75,1243,0.00241351568785197,0.0136765888978278,0.00080450522928399,0.00080450522928399,0.00643604183427192,0,0,0.00643604183427192,0.00321802091713596,0.00111556630875511,"data-25-25/unkn23-new.RData",26,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet D-5",0.328677634068461,0,3.50328023570518,2.48684510927886,100,75,1245,0.00240963855421687,0.0168674698795181,0.000803212851405623,0.000803212851405623,0.0072289156626506,0,0,0.0072289156626506,0.00401606425702811,0.00285942988073239,"data-25-25/unkn17-new.RData",21,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet D-6",0.416613566749802,0,2.39712976824188,2.37686401297639,150,75,1242,0.00322061191626409,0.0120772946859903,0.00241545893719807,0.00161030595813205,0.0104669887278583,0.000805152979066023,0,0,0.00161030595813205,0.00315673876803352,"data-25-25/unkn18-new.RData",22,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet L-2",0.353480325190913,0,9.9483193090091,3.80767884308426,125,75,1206,0.0033167495854063,0.0140961857379768,0.00165837479270315,0.000829187396351575,0.0066334991708126,0,0,0.00165837479270315,0.0066334991708126,0.00497761898117307,"data-25-25/unkn44-new.RData",44,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet Z-2",0.35608579389398,0,2.56270405473986,2.09420631103161,200,75,1240,0,0.0153225806451613,0,0,0.0153225806451613,0,0,0.0153225806451613,0.0153225806451613,0,"data-25-25/unkn86-new.RData",19,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet C-3",0.349012162546056,0,3.81568732284092,2.64983891155709,125,75,1245,0.0072289156626506,0.00883534136546185,0.00401606425702811,0.00240963855421687,0.00481927710843374,0,0,0.000803212851405623,0.00240963855421687,0.00774345714838034,"data-25-25/unkn9-new.RData",5,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet E-2",0.33506876113717,0,2.84244233466936,2.67047994889086,150,75,1250,0.0016,0.0096,0.0008,0.0008,0.0056,0,0.0008,0.0056,0,0.00230031215340869,"data-25-25/unkn20-new.RData",29,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet Z-3",0.43083327911438,0,2.30019619778323,2.61570478684504,175,75,1251,0.00159872102318145,0.0119904076738609,0.00159872102318145,0.000799360511590727,0.00719424460431655,0,0,0.00719424460431655,0.00479616306954436,0.00142811866458853,"data-25-25/unkn87-new.RData",20,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet U-5",0.418600968835024,0,3.96138528076197,2.55133520820095,100,75,1242,0.00161030595813205,0.0152979066022544,0.00161030595813205,0.000805152979066023,0.00805152979066022,0,0,0.0072463768115942,0.00805152979066022,0.00174042336998518,"data-25-25/unkn71-new.RData",54,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet Y-4",0.339537508605887,0,2.03287528861164,2.29962414197828,225,75,1243,0.00643604183427192,0.0136765888978278,0.00321802091713596,0.00160901045856798,0.00563153660498793,0.00160901045856798,0,0,0.00321802091713596,0.00723130792188355,"data-25-25/unkn82-new.RData",28,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet H-4",0.33673707906914,0,4.47449026730641,2.81866774631005,250,75,1239,0.00161420500403551,0.0161420500403551,0.000807102502017756,0.000807102502017756,0.00968523002421308,0,0,0.00968523002421308,0.00564971751412429,0.00258082856701404,"data-25-25/unkn34-new.RData",12,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet D-2",0.405878435929968,0,3.10381018666831,2.52121210311495,225,75,1251,0.00239808153477218,0.0127897681854516,0.00159872102318145,0.000799360511590727,0.00639488409272582,0,0,0.00159872102318145,0.00479616306954436,0.00398536357682122,"data-25-25/unkn14-new.RData",24,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet F-3",0.441530437307398,0,4.13242046466627,2.64719771853802,175,75,1247,0.00320769847634322,0.0128307939053729,0.00160384923817161,0.000801924619085806,0.00721732157177225,0,0,0.000801924619085806,0.000801924619085806,0.00553090512121188,"data-25-25/unkn27-new.RData",3,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet Y-3",0.308377269822073,0,2.96758129248169,2.47661970745974,150,75,1248,0.00721153846153846,0.0112179487179487,0.00400641025641026,0.00240384615384615,0.00480769230769231,0.000801282051282051,0,0,0.000801282051282051,0.00926174463961215,"data-25-25/unkn81-new.RData",27,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet M-3",0.446526309042743,0,1.68749077093065,2.19066991270624,125,75,1237,0.00404203718674212,0.0161681487469685,0.00161681487469685,0.000808407437348424,0.00646725949878739,0,0,0.000808407437348424,0.00242522231204527,0.00458642884229459,"data-25-25/unkn51-new.RData",28,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet Z-5",0.416716824896382,0,2.55649245001404,2.21735170042932,125,75,1249,0.00320256204963971,0.0136108887109688,0.00240192153722978,0.00160128102481986,0.00880704563650921,0,0,0.00880704563650921,0.00160128102481986,0.00280084246587627,"data-25-25/unkn89-new.RData",22,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet X-2",0.322121593927326,0,4.46902156469036,3.23347237930311,275,75,1169,0.00342172797262618,0.0145423438836612,0.00171086398631309,0.000855431993156544,0.00427715996578272,0,0,0.00427715996578272,0.00427715996578272,0.00477984142838516,"data-25-25/unkn74-new.RData",15,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet H-6",0.517065965229952,0,4.11265595691009,2.55649331641111,100,75,1234,0.00162074554294976,0.0153970826580227,0.00162074554294976,0.000810372771474878,0.0129659643435981,0,0,0.00243111831442464,0.0129659643435981,0.00147560683354872,"data-25-25/unkn36-new.RData",8,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet U-1",0.451656200806691,0,3.31954190110837,2.39382655247983,150,75,1238,0.00726978998384491,0.0145395799676898,0.00403877221324717,0.00161550888529887,0.00888529886914378,0,0.000807754442649435,0.00888529886914378,0,0.0072645961251648,"data-25-25/unkn67-new.RData",50,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet H-2",0.441747754098104,0,2.01221678830903,2.17911934097958,125,75,1228,0.00732899022801303,0.0130293159609121,0.00488599348534202,0.00244299674267101,0.00977198697068404,0,0,0.000814332247557003,0.00977198697068404,0.00559551341980389,"data-25-25/unkn32-new.RData",10,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet M-4",0.327702652698551,0,2.67695897227279,2.71050253263959,225,75,1215,0.0065843621399177,0.00987654320987654,0.00411522633744856,0.00246913580246914,0.00493827160493827,0.000823045267489712,0.000823045267489712,0,0,0.0084482836810394,"data-25-25/unkn52-new.RData",29,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet U-2",0.331458974977893,0,2.71291894807967,2.54554862786272,200,75,1251,0.00399680255795364,0.0111910471622702,0.00159872102318145,0.000799360511590727,0.00479616306954436,0.00159872102318145,0,0,0.00159872102318145,0.00492107439182366,"data-25-25/unkn68-new.RData",51,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet S-1",0.375518171642618,0,3.01769008841023,2.27131645443333,175,75,1247,0.00160384923817161,0.0176423416198877,0.000801924619085806,0.000801924619085806,0.0152365677626303,0,0,0.0152365677626303,0.00160384923817161,0.00132206708421324,"data-25-25/unkn61-new.RData",13,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet S-4",0.591388622151047,0,4.00417923018674,2.98225032130171,325,75,1209,0.00496277915632754,0.0140612076095947,0.00248138957816377,0.000827129859387924,0.00744416873449132,0,0,0.000827129859387924,0.00413564929693962,0.00507900042288508,"data-25-25/unkn64-new.RData",16,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet Y-6",0.410737242777326,0,2.80921903780124,2.48765558819224,175,75,1240,0,0.0201612903225806,0,0,0.0201612903225806,0,0,0.0201612903225806,0.0201612903225806,0,"data-25-25/unkn84-new.RData",30,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet Y-5",0.331719961437593,0,2.71239248505795,2.70218571317432,150,75,1240,0.00564516129032258,0.0104838709677419,0.00403225806451613,0.00241935483870968,0.00483870967741936,0.000806451612903226,0,0,0.00161290322580645,0.00773502000649978,"data-25-25/unkn83-new.RData",29,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet F-6",0.383170810225359,0,5.48098437963032,3.02336697830092,75,75,1240,0.00161290322580645,0.0161290322580645,0.000806451612903226,0.000806451612903226,0.0104838709677419,0,0,0.000806451612903226,0.0104838709677419,0.00187996806171766,"data-25-25/unkn30-new.RData",6,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet F-5",0.384278167170295,0,3.31806326781682,2.48970467115115,200,75,1249,0.0056044835868695,0.0120096076861489,0.00480384307445957,0.00240192153722978,0.0104083266613291,0,0,0.000800640512409928,0.0104083266613291,0.00466985957050977,"data-25-25/unkn29-new.RData",5,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet U-3",0.394224342122949,0,3.02546477293777,2.46795138029075,150,75,1249,0.00400320256204964,0.0136108887109688,0.00240192153722978,0.00160128102481986,0.0056044835868695,0,0,0.00400320256204964,0.00240192153722978,0.00494872440629603,"data-25-25/unkn69-new.RData",52,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet X-5",0.389129485865001,0,2.05064699142009,1.90820507245096,175,75,1234,0.00810372771474878,0.00972447325769854,0.00324149108589951,0.00162074554294976,0.00405186385737439,0.000810372771474878,0,0,0.00405186385737439,0.00690088637102683,"data-25-25/unkn77-new.RData",18,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet Q-6",0.337723501039288,0,2.0489000195582,2.0417804689214,100,75,1230,0.00650406504065041,0.0105691056910569,0.0024390243902439,0.000813008130081301,0.0040650406504065,0.0024390243902439,0,0,0.000813008130081301,0.00714381211621458,"data-25-25/unkn60-new.RData",55,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet F-2",0.359631486205874,0,2.00367106530153,2.0398317476623,200,75,1250,0.0024,0.0112,0.0008,0,0.0056,0,0,0.0056,0.0008,0.00210472262348496,"data-25-25/unkn26-new.RData",2,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet M-6",0.459656369662235,0,3.90388412159737,2.73825906511749,175,75,1244,0.000803858520900322,0.0176848874598071,0.000803858520900322,0,0.0168810289389068,0,0,0.000803858520900322,0.0168810289389068,0.00128723426962532,"data-25-25/unkn54-new.RData",25,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet Q-4",0.420978778151606,0,8.21889602774992,3.73965515007366,475,75,1221,0.00163800163800164,0.0171990171990172,0.00163800163800164,0.000819000819000819,0.00982800982800983,0,0,0.00982800982800983,0.00737100737100737,0.0010769558610015,"data-25-25/unkn58-new.RData",59,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet X-4",0.416739971145585,0,3.72621363579727,2.5277611208849,175,75,1237,0.000808407437348424,0.0169765561843169,0.000808407437348424,0.000808407437348424,0.0137429264349232,0,0,0.0137429264349232,0.00323362974939369,0.00123679767705787,"data-25-25/unkn76-new.RData",17,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet Z-4",0.429936332009797,0,3.93043281502726,2.58104054392518,100,75,1219,0.000820344544708778,0.0164068908941756,0.000820344544708778,0.000820344544708778,0.0106644790812141,0,0,0.0106644790812141,0.00574241181296144,0.00161763003227993,"data-25-25/unkn88-new.RData",21,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet S-5",0.45713556531084,0,3.3750156285659,2.47030001810108,150,75,1237,0.000808407437348424,0.01535974130962,0.000808407437348424,0.000808407437348424,0.0121261115602264,0,0,0.0121261115602264,0.00323362974939369,0.00126857813385736,"data-25-25/unkn65-new.RData",17,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet C-2",0.474440870521288,0,2.36143817663333,2.13542338103849,150,75,1250,0.0008,0.0192,0.0008,0,0.0136,0,0,0.0056,0.0136,0.00000687790419611929,"data-25-25/unkn8-new.RData",4,1,FALSE,25
"Br1 Bullet 1-1","Ukn Bullet J-1",0.410237158293188,0,1.6485061800235,2.06802384866853,175,75,1232,0.000811688311688312,0.0178571428571429,0.000811688311688312,0,0.0137987012987013,0,0,0.00405844155844156,0.0137987012987013,0.00137755819980248,"data-25-25/unkn37-new.RData",36,1,FALSE,25
